"group","group_type","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"Men","sex","competition","adoption_difference","prevalence_difference",0,0.5,0.0758678894441552,0.0762124234554263,0.0675737838587305,-0.0574197757298832,0.20789828388218,0.8695,0.65,0.1235
"Men","sex","competition","adoption_ratio","prevalence_ratio",0,0.5,1.22920132755114,1.19928765015309,0.223518431702408,0.882370309628415,1.77065300555547,0.8695,0.69675,0.13825
"Men","sex","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.153706869846174,0.154370662119179,0.0597417965289408,0.0334740273458244,0.269025864039167,0.99425,0.95625,0.0115
"Men","sex","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.41460742624826,1.40052452164184,0.192266283982458,1.07317505207377,1.83364163164314,0.99425,0.96475,0.0125
"Women","sex","competition","prevalence_nonuser","prevalence",NA,0,0.314059792770693,0.312944388366119,0.0573126409957627,0.205941526341281,0.433515695837852,NA,NA,NA
"Women","sex","competition","prevalence_median_user","prevalence",NA,0.5,0.382998217911494,0.382606459460522,0.0371697575821065,0.312469496748656,0.456624052454165,NA,NA,NA
"Women","sex","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.314760872492842,0.314141669311503,0.0406507454581923,0.239113681295397,0.397564047126888,NA,NA,NA
"Women","sex","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.458880400150162,0.4586986835569,0.0455092272060383,0.370386140506496,0.549615525064102,NA,NA,NA
"Women","sex","competition","adoption_difference","prevalence_difference",0,0.5,0.0689384251408016,0.069508066149821,0.0613970242703286,-0.0542821110600235,0.186313472867231,0.8695,0.6265,0.13675
"Women","sex","competition","adoption_ratio","prevalence_ratio",0,0.5,1.25828339433972,1.22297452596809,0.251935651054812,0.867812777860379,1.85647631332297,0.8695,0.7165,0.1225
"Women","sex","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.14411952765732,0.144771226665485,0.0561923168563784,0.0315049461987668,0.254622899840268,0.99425,0.9515,0.0125
"Women","sex","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.47989619785199,1.46284765784335,0.22702213930922,1.08416461406728,1.98231904160815,0.99425,0.96875,0.01175
